city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Fayetteville,Cumberland,Tuesday,8,Non-Roadway,January,A: Suspected Serious Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.07633,-78.9661,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Graham,Alamance,Saturday,15,Non-Intersection,September,A: Suspected Serious Injury,Backing Vehicle - Driveway / Sidewalk Intersection,Residential,O: No Injury,36.07375,-79.3902,A: Suspected Serious Injury,Sidewalk / Shared Use Path / Driveway Crossing,NC Route,Two-Way: Not Divided,40-49
None - Rural Crash,Craven,Wednesday,19,Non-Intersection,December,K: Killed,Walking Along Roadway Against Traffic - From Behind,Residential,Unknown Injury,35.33768129,-77.1563942,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,25-29
None - Rural Crash,Forsyth,Saturday,20,Non-Intersection,December,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Residential,Unknown Injury,36.06934102,-80.29034527,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Cary,Wake,Saturday,19,Non-Roadway,November,A: Suspected Serious Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.75815752,-78.73498163,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
Raleigh,Wake,Wednesday,15,Non-Intersection,December,O: No Injury,Entering / Exiting Parked Vehicle,Commercial,Unknown Injury,35.76888836,-78.64859857,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Harnett,Saturday,12,Non-Intersection,December,C: Possible Injury,Dash,Farms: Woods: Pastures,O: No Injury,35.2562816,-78.9652982,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
Greenville,Pitt,Thursday,16,Intersection,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,35.60346018,-77.37138877,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Friday,12,Non-Intersection,December,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,35.2238713,-80.87194035,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,25-29
Wilmington,New Hanover,Monday,19,Intersection,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,O: No Injury,34.21730482,-77.90734599,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,20-24
